JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,URL,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE
adzuna_5827031194,Business Intelligence Analyst,Renaissance Infpotech,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5827031194?utm_medium=api&utm_source=8413080e,33000.0,38000.0,2026-08-03,2026-08-07
adzuna_5821880732,CPG/FMCG Business Intelligence Lead,Circana,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5821880732?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=A05117894C70B53FC4B27F9ADA00BC657FB4D858,82676.91,82676.91,2026-07-31,2026-08-07
adzuna_5822590529,Strategic Lead - Business Intelligence & Insight (Team Manager),Opus People Solutions,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5822590529?utm_medium=api&utm_source=8413080e,61000.0,65000.0,2026-07-31,2026-08-07
adzuna_5800186369,Senior Business Intelligence Developer / Senior Data Engineer,Next Ltd,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5800186369?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=D342E9C7B45131B3E32AFA59E5940F62CDAFAC7E,65945.27,65945.27,2026-07-14,2026-08-07
adzuna_5809592319,Business Intelligence Manager,Indra Group UK & Ireland,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5809592319?utm_medium=api&utm_source=8413080e,119290.13,119290.13,2026-07-21,2026-08-07
adzuna_5832254275,Business Intelligence Analyst,Barclays,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5832254275?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=813610FD16086E69027E7715A8F965FC1AF03C8F,41748.06,41748.06,2026-08-07,2026-08-07
adzuna_5822565125,Business Intelligence Analyst,Thurrock Council,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5822565125?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=3E2447ADF6D7063C7FF58E0005C841EA0786B2B0,45624.0,52038.0,2026-07-31,2026-08-07
adzuna_5809171033,Business Intelligence Analyst,OCS Group,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5809171033?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=CA0D3262981C866138DA59A8F660C3D6AD566A53,54873.12,54873.12,2026-07-21,2026-08-07
adzuna_5830786165,Business Intelligence Manager,Lloyds Bank,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5830786165?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=BD0983835B70AA7D2AB6FFE447850CF30EDE3B1C,67023.0,74470.0,2026-08-06,2026-08-07
adzuna_5121197146,Business Intelligence Executive,Zenergi,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5121197146?se=wAbw76CS8RGWPoJqQXFPnw&utm_medium=api&utm_source=8413080e&v=75FD6EA6AA7E6842FC72E63A719F2FDBF0E8AD6D,27000.0,30000.0,2025-04-01,2026-08-07
