JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE,SKILL_NAME
adzuna_5826911660,Senior Lead Machine Learning Engineer,Capital One,us,adzuna,241686.61,241686.61,2026-08-03,2026-08-07,Agile
adzuna_5823972743,Lead Machine Learning Engineer,Capital One,us,adzuna,206141.6,206141.6,2026-08-01,2026-08-07,Machine Learning
adzuna_5823972743,Lead Machine Learning Engineer,Capital One,us,adzuna,206141.6,206141.6,2026-08-01,2026-08-07,Agile
adzuna_5823971578,Lead Machine Learning Engineer,Capital One,us,adzuna,166236.67,166236.67,2026-08-01,2026-08-07,Machine Learning
adzuna_5812337514,Sr. Lead Machine Learning Engineer,Capital One,us,adzuna,171554.48,171554.48,2026-07-23,2026-08-07,Machine Learning
adzuna_5812337514,Sr. Lead Machine Learning Engineer,Capital One,us,adzuna,171554.48,171554.48,2026-07-23,2026-08-07,Agile
adzuna_5830838325,Power Bi Developer,ENIN SYSTEMS INC,us,adzuna,92500.38,92500.38,2026-08-06,2026-08-07,ETL
adzuna_5830838325,Power Bi Developer,ENIN SYSTEMS INC,us,adzuna,92500.38,92500.38,2026-08-06,2026-08-07,Power BI
adzuna_5830838325,Power Bi Developer,ENIN SYSTEMS INC,us,adzuna,92500.38,92500.38,2026-08-06,2026-08-07,SQL
adzuna_5820417179,Power BI Developer,Stefanini,us,adzuna,100282.95,100282.95,2026-07-29,2026-08-07,ETL
adzuna_5820417179,Power BI Developer,Stefanini,us,adzuna,100282.95,100282.95,2026-07-29,2026-08-07,Power BI
adzuna_5812679541,Power BI Developer,Irvine Technology Corporation ,us,adzuna,89544.12,89544.12,2026-07-23,2026-08-07,Power BI
adzuna_5791545722,Power BI Developer,Solugenix Corporation,us,adzuna,89845.23,89845.23,2026-07-07,2026-08-07,Power BI
adzuna_5791545722,Power BI Developer,Solugenix Corporation,us,adzuna,89845.23,89845.23,2026-07-07,2026-08-07,SQL
adzuna_5785770602,Power BI Developer,Solugenix Corporation,us,adzuna,96255.38,96255.38,2026-07-02,2026-08-07,Power BI
adzuna_5785770602,Power BI Developer,Solugenix Corporation,us,adzuna,96255.38,96255.38,2026-07-02,2026-08-07,SQL
adzuna_5823867870,Senior Machine Learning Engineer,Vanguard,us,adzuna,138226.77,138226.77,2026-08-01,2026-08-07,Machine Learning
adzuna_5827042167,"Machine Learning Engineer, Specialist",Vanguard,us,adzuna,102060.73,102060.73,2026-08-03,2026-08-07,Machine Learning
adzuna_5828358867,"Manager, Machine Learning Engineer",Vanguard,us,adzuna,130965.86,130965.86,2026-08-04,2026-08-07,Machine Learning
adzuna_5831512207,Senior Python Developer / Consultant SaaS,Client Server,gb,adzuna,80000.0,80000.0,2026-08-07,2026-08-07,Python
adzuna_5831512207,Senior Python Developer / Consultant SaaS,Client Server,gb,adzuna,80000.0,80000.0,2026-08-07,2026-08-07,AWS
adzuna_5809351188,Backend Python Developer,Xact Placements Limited,gb,adzuna,60000.0,80000.0,2026-07-21,2026-08-07,Python
adzuna_5809351188,Backend Python Developer,Xact Placements Limited,gb,adzuna,60000.0,80000.0,2026-07-21,2026-08-07,Azure
adzuna_5831963159,Python Developer - Cyber Security,Client Server,gb,adzuna,65000.0,65000.0,2026-08-07,2026-08-07,Python
adzuna_5812410484,SC Cleared Python Developer,Damia Group Ltd,gb,adzuna,130000.0,143000.0,2026-07-23,2026-08-07,Python
adzuna_5812410484,SC Cleared Python Developer,Damia Group Ltd,gb,adzuna,130000.0,143000.0,2026-07-23,2026-08-07,AWS
adzuna_5832202178,Python Developer - Geospatial Image Processing,Client Server,gb,adzuna,85000.0,85000.0,2026-08-07,2026-08-07,Machine Learning
adzuna_5832202178,Python Developer - Geospatial Image Processing,Client Server,gb,adzuna,85000.0,85000.0,2026-08-07,2026-08-07,Python
adzuna_5813878865,Senior Research Python Developer,Hays Specialist Recruitment Limited,gb,adzuna,260000.0,286000.0,2026-07-24,2026-08-07,Python
adzuna_5817322318,Senior Python Developer Cyber Security,Client Server,gb,adzuna,80000.0,80000.0,2026-07-27,2026-08-07,R
adzuna_5817322318,Senior Python Developer Cyber Security,Client Server,gb,adzuna,80000.0,80000.0,2026-07-27,2026-08-07,Python
adzuna_5818735942,Python Developer,Brio Digital,gb,adzuna,0.0,143000.0,2026-07-28,2026-08-07,Python
adzuna_5818735942,Python Developer,Brio Digital,gb,adzuna,0.0,143000.0,2026-07-28,2026-08-07,Azure
adzuna_5798861445,Python Developer,Noir,gb,adzuna,42000.0,62000.0,2026-07-13,2026-08-07,Python
adzuna_5798861445,Python Developer,Noir,gb,adzuna,42000.0,62000.0,2026-07-13,2026-08-07,JavaScript
adzuna_5798861445,Python Developer,Noir,gb,adzuna,42000.0,62000.0,2026-07-13,2026-08-07,AWS
adzuna_5119758651,Python Developer,Enorth Staffing Limited,gb,adzuna,58508.86,58508.86,2025-03-31,2026-08-07,Python
adzuna_5811055378,Machine Learning Engineer (Mid-Snr),Deep.Meta,gb,adzuna,58613.97,58613.97,2026-07-22,2026-08-07,Machine Learning
adzuna_5831512440,Junior AI Engineer / Machine Learning Engineer no experience needed,NEWTO TRAINING LIMITED,gb,adzuna,65000.0,65000.0,2026-08-07,2026-08-07,R
adzuna_5831512429,Junior AI Engineer / Machine Learning Engineer no experience needed,NEWTO TRAINING LIMITED,gb,adzuna,65000.0,65000.0,2026-08-07,2026-08-07,R
adzuna_5817569584,Data Scientist,Ocho,gb,adzuna,85000.0,85000.0,2026-07-27,2026-08-07,Machine Learning
adzuna_5817569584,Data Scientist,Ocho,gb,adzuna,85000.0,85000.0,2026-07-27,2026-08-07,Python
adzuna_5829131482,Data Scientist II,AXA Insurance Ltd.,gb,adzuna,45000.0,45000.0,2026-08-05,2026-08-07,Machine Learning
adzuna_5812591329,Data Science Manager,Salt,gb,adzuna,100000.0,100000.0,2026-07-23,2026-08-07,Machine Learning
adzuna_5812591329,Data Science Manager,Salt,gb,adzuna,100000.0,100000.0,2026-07-23,2026-08-07,SQL
adzuna_5812591329,Data Science Manager,Salt,gb,adzuna,100000.0,100000.0,2026-07-23,2026-08-07,Python
adzuna_5825453050,Data Scientist,Vitality,gb,adzuna,49880.89,49880.89,2026-08-02,2026-08-07,Machine Learning
adzuna_5825453050,Data Scientist,Vitality,gb,adzuna,49880.89,49880.89,2026-08-02,2026-08-07,SQL
adzuna_5825453050,Data Scientist,Vitality,gb,adzuna,49880.89,49880.89,2026-08-02,2026-08-07,Python
adzuna_5817416382,Senior Data Scientist,Harnham - Data & Analytics Recruitment,gb,adzuna,70000.0,75000.0,2026-07-27,2026-08-07,Machine Learning
adzuna_5784760626,eDV Data Scientist,NSD,gb,adzuna,95000.0,95000.0,2026-07-02,2026-08-07,Machine Learning
adzuna_5808335552,Data Science Analyst - Contract,VANRATH,gb,adzuna,60000.0,60000.0,2026-07-20,2026-08-07,R
adzuna_5808335552,Data Science Analyst - Contract,VANRATH,gb,adzuna,60000.0,60000.0,2026-07-20,2026-08-07,SQL
adzuna_5808335552,Data Science Analyst - Contract,VANRATH,gb,adzuna,60000.0,60000.0,2026-07-20,2026-08-07,Python
adzuna_5823138462,Machine Learning Engineer,MCS Group,gb,adzuna,60000.0,60000.0,2026-08-01,2026-08-07,Machine Learning
adzuna_5823138462,Machine Learning Engineer,MCS Group,gb,adzuna,60000.0,60000.0,2026-08-01,2026-08-07,AWS
adzuna_5830015285,Embedded Machine Learning Engineer,KO2 Embedded Recruitment Solutions LTD,gb,adzuna,70000.0,70000.0,2026-08-06,2026-08-07,Machine Learning
adzuna_5827849883,Machine Learning Engineer,Method Resourcing,gb,adzuna,60000.0,70000.0,2026-08-04,2026-08-07,Machine Learning
